Country,edu_level,year,sum
Luxembourg,Master or equivalent level,2021,766
Luxembourg,Doctoral or equivalent level,2013,52
Luxembourg,Doctoral or equivalent level,2014,67
Luxembourg,Doctoral or equivalent level,2015,95
Luxembourg,Doctoral or equivalent level,2016,92
Luxembourg,Doctoral or equivalent level,2017,134
Luxembourg,Doctoral or equivalent level,2018,118
Luxembourg,Doctoral or equivalent level,2019,91
Luxembourg,Doctoral or equivalent level,2020,110
Luxembourg,Doctoral or equivalent level,2021,133
Mexico,Short-cycle tertiary education,2013,0
Mexico,Short-cycle tertiary education,2014,0
Mexico,Short-cycle tertiary education,2015,0
Mexico,Short-cycle tertiary education,2016,0
Mexico,Short-cycle tertiary education,2017,0
Mexico,Short-cycle tertiary education,2018,0
Mexico,Short-cycle tertiary education,2019,0
Mexico,Short-cycle tertiary education,2020,0
Mexico,Short-cycle tertiary education,2021,0
Mexico,Bachelor or equivalent level,2013,0
Mexico,Bachelor or equivalent level,2014,0
Mexico,Bachelor or equivalent level,2015,0
Mexico,Bachelor or equivalent level,2016,0
Mexico,Bachelor or equivalent level,2017,0
Mexico,Bachelor or equivalent level,2018,0
Mexico,Bachelor or equivalent level,2019,0
Mexico,Bachelor or equivalent level,2020,0
Mexico,Bachelor or equivalent level,2021,0
Mexico,Master or equivalent level,2013,0
Mexico,Master or equivalent level,2014,0
Mexico,Master or equivalent level,2015,0
Mexico,Master or equivalent level,2016,0
Mexico,Master or equivalent level,2017,0
Mexico,Master or equivalent level,2018,0
Mexico,Master or equivalent level,2019,0
Mexico,Master or equivalent level,2020,0
Mexico,Master or equivalent level,2021,0
Mexico,Doctoral or equivalent level,2013,0
Mexico,Doctoral or equivalent level,2014,0
Mexico,Doctoral or equivalent level,2015,0
Mexico,Doctoral or equivalent level,2016,0
Mexico,Doctoral or equivalent level,2017,0
Mexico,Doctoral or equivalent level,2018,0
Mexico,Doctoral or equivalent level,2019,0
Mexico,Doctoral or equivalent level,2020,0
Mexico,Doctoral or equivalent level,2021,0
Netherlands,Short-cycle tertiary education,2013,0
Netherlands,Short-cycle tertiary education,2014,0
Netherlands,Short-cycle tertiary education,2015,0
Netherlands,Short-cycle tertiary education,2016,0
Netherlands,Short-cycle tertiary education,2017,0
Netherlands,Short-cycle tertiary education,2018,0
